0	1	1	1	1	1	1	1	1	1	1	1	1	1	30	29	1	1	1	1	1	1	1	1	1	1	30	29	1	1	1	1	1	1	1	1	1	1	30	29	1	1	1	1	1	1	1	1	1	1	1	1	1	2
9	45	45	45	45	45	45	45	45	45	45	45	45	45	12	14	45	45	45	45	45	45	45	45	45	45	12	14	45	45	45	45	45	45	45	45	45	45	12	14	45	45	45	45	45	45	45	45	45	45	45	45	45	11
9	45	3	5	45	3	4	4	4	5	45	3	5	45	12	14	45	3	5	10	3	4	4	4	5	45	12	14	45	3	4	4	4	5	10	3	5	45	12	14	45	3	5	45	3	4	4	4	5	45	3	5	45	11
9	45	12	14	45	21	22	22	22	23	45	12	14	45	21	23	45	12	14	10	21	22	22	7	14	45	12	14	45	12	6	22	22	23	10	12	14	45	21	23	45	12	14	45	21	22	22	22	23	45	12	14	45	11
9	47	12	14	45	45	45	45	45	45	45	12	14	45	45	45	45	12	14	45	45	45	45	12	14	45	12	14	45	12	14	45	45	45	45	12	14	45	45	45	45	12	14	45	45	45	45	45	45	45	12	14	47	11
9	45	12	14	45	3	4	4	4	5	45	12	14	45	3	4	4	16	14	45	3	5	45	12	14	45	12	14	45	12	14	45	3	5	45	12	15	4	4	5	45	12	14	45	3	4	4	4	5	45	12	14	45	11
9	45	21	23	45	21	22	22	22	23	45	12	14	45	12	6	22	22	23	45	12	14	45	21	23	45	21	23	45	21	23	45	12	14	45	21	22	22	7	14	45	12	14	45	21	22	22	22	23	45	21	23	45	11
9	45	10	10	45	45	45	45	45	45	45	12	14	45	12	14	45	45	45	45	12	14	45	45	45	45	45	45	45	45	45	45	12	14	45	45	45	45	12	14	45	12	14	45	45	45	45	45	45	45	10	10	45	11
9	45	3	5	45	3	4	4	4	5	45	12	14	45	12	14	45	3	4	4	16	14	10	3	4	4	4	4	4	4	5	10	12	15	4	4	5	45	12	14	45	12	14	45	3	4	4	4	5	45	3	5	45	11
9	45	12	14	45	21	22	22	7	14	45	21	23	45	21	23	45	21	22	22	22	23	10	21	22	22	22	22	22	22	23	10	21	22	22	22	23	45	21	23	45	21	23	45	12	6	22	22	23	45	12	14	45	11
9	45	12	14	45	45	45	45	12	14	45	10	10	45	45	45	45	45	45	45	10	10	10	10	10	10	10	10	10	10	10	10	10	10	45	45	45	45	45	45	45	10	10	45	12	14	45	45	45	45	12	14	45	11
9	45	12	14	45	3	5	45	12	14	45	3	5	45	3	4	4	4	5	45	3	5	10	24	25	8	34	34	17	25	26	10	3	5	45	3	4	4	4	5	45	3	5	45	12	14	45	3	5	45	12	14	45	11
9	45	21	23	45	12	14	45	21	23	45	12	14	45	21	22	22	22	23	45	12	14	10	33	10	10	10	10	10	10	35	10	12	14	45	21	22	22	22	23	45	12	14	45	21	23	45	12	14	45	21	23	45	11
9	45	45	45	45	12	14	45	45	45	45	12	14	45	45	45	47	45	45	45	12	14	10	33	10	10	10	10	10	10	35	10	12	14	45	45	45	47	45	45	45	12	14	45	45	45	45	12	14	45	45	45	45	11
9	45	3	4	4	16	15	4	4	5	45	12	14	45	3	4	4	4	5	45	12	14	10	33	10	10	10	10	10	10	35	10	12	14	45	3	4	4	4	5	45	12	14	45	3	4	4	16	15	4	4	5	45	11
9	45	21	22	22	22	22	22	22	23	45	12	14	45	21	22	22	22	23	45	21	23	10	42	43	43	43	43	43	43	44	10	21	23	45	21	22	22	22	23	45	12	14	45	21	22	22	22	22	22	22	23	45	11
9	45	10	10	45	45	45	45	45	45	45	12	14	45	45	45	45	45	45	45	10	10	10	10	10	10	10	10	10	10	10	10	10	10	45	45	45	45	45	45	45	12	14	45	45	45	45	45	45	45	10	10	45	11
9	45	3	5	45	3	4	4	4	5	45	12	14	45	3	5	10	3	4	4	4	5	10	3	4	4	4	4	4	4	5	10	3	4	4	4	5	10	3	5	45	12	14	45	3	4	4	4	5	45	3	5	45	11
9	45	12	14	45	21	22	22	7	14	45	12	14	45	12	14	10	21	22	22	22	23	10	21	22	22	7	6	22	22	23	10	21	22	22	22	23	10	12	14	45	12	14	45	12	6	22	22	23	45	12	14	45	11
9	45	12	14	45	45	45	45	12	14	45	12	14	45	12	14	10	10	10	45	45	45	45	45	45	45	12	14	45	45	45	45	45	45	45	10	10	10	12	14	45	12	14	45	12	14	45	45	45	45	12	14	45	11
9	45	12	15	4	4	5	45	12	14	45	12	14	45	12	15	4	4	5	45	3	4	4	4	5	45	12	14	45	3	4	4	4	5	45	3	4	4	16	14	45	12	14	45	12	14	45	3	4	4	16	14	45	11
9	45	21	22	22	22	23	45	21	23	45	21	23	45	21	22	22	22	23	45	21	22	22	22	23	45	21	23	45	21	22	22	22	23	45	21	22	22	22	23	45	21	23	45	21	23	45	21	22	22	22	23	45	11
9	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	10	10	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	11
9	45	3	5	45	3	4	4	4	5	10	3	4	4	4	5	45	3	5	45	3	5	10	3	4	4	4	4	4	4	5	10	3	5	45	3	5	45	3	4	4	4	5	10	3	4	4	4	5	45	3	5	45	11
9	45	12	14	45	12	6	22	22	23	10	21	22	22	22	23	45	12	14	45	12	14	10	21	22	22	7	6	22	22	23	10	12	14	45	12	14	45	21	22	22	22	23	10	21	22	22	7	14	45	12	14	45	11
9	47	12	14	45	12	14	45	45	45	45	45	45	45	10	10	45	12	14	45	12	14	45	45	45	45	12	14	45	45	45	45	12	14	45	12	14	45	10	10	45	45	45	45	45	45	45	12	14	45	12	14	47	11
9	45	12	14	45	12	14	45	3	4	4	4	5	45	3	5	45	12	14	45	12	14	45	3	5	45	12	14	45	3	5	45	12	14	45	12	14	45	3	5	45	3	4	4	4	5	45	12	14	45	12	14	45	11
9	45	21	23	45	21	23	45	21	22	22	22	23	45	12	14	45	21	23	45	21	23	45	12	14	45	21	23	45	12	14	45	21	23	45	21	23	45	12	14	45	21	22	22	22	23	45	21	23	45	21	23	45	11
