48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48
48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48
48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
9	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	11
9	45	3	4	4	5	45	3	4	4	4	5	45	3	5	45	3	4	4	4	5	45	3	4	4	5	45	11
9	47	12	13	13	14	45	12	13	13	13	14	45	12	14	45	12	13	13	13	14	45	12	13	13	14	47	11
44	45	21	22	22	23	45	21	22	22	22	23	45	12	14	45	21	22	22	22	23	45	21	22	22	23	45	42
10	45	45	45	45	45	45	45	45	45	45	45	45	12	14	45	45	45	45	45	45	45	45	45	45	45	45	10
26	45	3	4	4	5	45	3	5	45	3	4	4	16	15	4	4	5	45	3	5	45	3	4	4	5	45	24
9	45	21	22	22	23	45	12	14	45	21	22	22	7	6	22	22	23	45	12	14	45	21	22	22	23	45	11
9	45	45	45	45	45	45	12	14	45	45	45	45	12	14	45	45	45	45	12	14	45	45	45	45	45	45	11
18	19	32	10	10	10	45	12	15	4	4	5	10	12	14	10	3	4	4	16	14	45	10	10	10	31	19	20
48	48	9	10	10	10	45	12	6	22	22	23	10	21	23	10	21	22	22	7	14	45	10	10	10	11	48	48
48	48	9	10	0	2	45	12	14	10	10	10	10	10	10	10	10	10	10	12	14	45	0	2	10	11	48	48
48	48	9	10	18	20	45	21	23	10	24	25	8	34	34	17	25	26	10	21	23	45	18	20	10	11	48	48
1	1	41	10	10	10	45	10	10	10	33	10	10	10	10	10	10	35	10	10	10	45	10	10	10	40	1	1
10	10	10	10	10	10	45	0	2	10	33	10	10	10	10	10	10	35	10	0	2	45	10	10	10	10	10	10
19	19	32	10	10	10	45	18	20	10	33	10	10	10	10	10	10	35	10	18	20	45	10	10	10	31	19	19
48	48	9	10	0	2	45	10	10	10	42	43	43	43	43	43	43	44	10	10	10	45	0	2	10	11	48	48
48	48	9	10	18	20	45	3	5	10	10	10	10	10	10	10	10	10	10	3	5	45	18	20	10	11	48	48
48	48	9	10	10	10	45	12	15	4	4	5	10	3	5	10	3	4	4	16	14	45	10	10	10	11	48	48
0	1	41	10	10	10	45	21	22	22	22	23	10	12	14	10	21	22	22	22	23	45	10	10	10	40	1	2
9	45	45	45	45	45	45	45	45	45	45	45	45	12	14	45	45	45	45	45	45	45	45	45	45	45	45	11
9	45	3	4	4	5	45	3	4	4	4	5	45	12	14	45	3	4	4	4	5	45	3	4	4	5	45	11
9	45	21	22	7	14	45	21	22	22	22	23	45	21	23	45	21	22	22	22	23	45	12	6	22	23	45	11
9	47	45	45	12	14	45	45	45	45	45	45	45	10	10	45	45	45	45	45	45	45	12	14	45	45	47	11
36	4	5	45	12	14	45	3	5	45	3	4	4	4	4	4	4	5	45	3	5	45	12	14	45	3	4	37
22	22	23	45	21	23	45	12	14	45	21	22	22	7	6	22	22	23	45	12	14	45	21	23	45	21	22	22
10	45	45	45	45	45	45	12	14	45	45	45	45	12	14	45	45	45	45	12	14	45	45	45	45	45	45	10
26	45	3	4	4	5	10	12	14	10	3	5	45	12	14	45	3	5	10	12	14	10	3	4	4	5	45	24
9	45	21	22	22	23	10	21	23	10	21	23	45	21	23	45	21	23	10	21	23	10	21	22	22	23	45	11
9	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	11
18	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	20
48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48
48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48
