44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44
44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44
44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44
01;10;10;10;10;10;10;10;10;10;10;10;10;43;42;10;10;10;10;10;10;10;10;10;10;10;10;00
03;45;45;45;45;45;45;45;45;45;45;45;45;25;24;45;45;45;45;45;45;45;45;45;45;45;45;02
03;45;23;14;14;22;45;23;14;14;14;22;45;25;24;45;23;14;14;14;22;45;23;14;14;22;45;02
03;47;25;44;44;24;45;25;44;44;44;24;45;25;24;45;25;44;44;44;24;45;25;44;44;24;47;02
03;45;27;20;20;26;45;27;20;20;20;26;45;27;26;45;27;20;20;20;26;45;27;20;20;26;45;02
03;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;02
03;45;23;14;14;22;45;23;22;45;23;14;14;14;14;14;14;22;45;23;22;45;23;14;14;22;45;02
03;45;27;20;20;26;45;25;24;45;27;20;20;35;34;20;20;26;45;25;24;45;27;20;20;26;45;02
03;45;45;45;45;45;45;25;24;45;45;45;45;25;24;45;45;45;45;25;24;45;45;45;45;45;45;02
05;12;12;12;12;22;45;25;36;14;14;22;44;25;24;44;23;14;14;37;24;45;23;12;12;12;12;04
44;44;44;44;44;03;45;25;34;20;20;26;44;27;26;44;27;20;20;35;24;45;02;44;44;44;44;44
44;44;44;44;44;03;45;25;24;44;44;44;44;44;44;44;44;44;44;25;24;45;02;44;44;44;44;44
44;44;44;44;44;03;45;25;24;44;29;12;33;32;33;32;12;28;44;25;24;45;02;44;44;44;44;44
10;10;10;10;10;26;45;27;26;44;02;44;44;44;44;44;44;03;44;27;26;45;27;10;10;10;10;10
44;44;44;44;44;44;45;44;44;44;02;44;44;44;44;44;44;03;44;44;44;45;44;44;44;44;44;44
12;12;12;12;12;22;45;23;22;44;02;44;44;44;44;44;44;03;44;23;22;45;23;12;12;12;12;12
44;44;44;44;44;03;45;25;24;44;31;10;10;10;10;10;10;30;44;25;24;45;02;44;44;44;44;44
44;44;44;44;44;03;45;25;24;44;44;44;44;44;44;44;44;44;44;25;24;45;02;44;44;44;44;44
44;44;44;44;44;03;45;25;24;44;23;14;14;14;14;14;14;22;44;25;24;45;02;44;44;44;44;44
01;10;10;10;10;26;45;27;26;44;27;20;20;35;34;20;20;26;44;27;26;45;27;10;10;10;10;00
03;45;45;45;45;45;45;45;45;45;45;45;45;25;24;45;45;45;45;45;45;45;45;45;45;45;45;02
03;45;23;14;14;22;45;23;14;14;14;22;45;25;24;45;23;14;14;14;22;45;23;14;14;22;45;02
03;45;27;20;35;24;45;27;20;20;20;26;45;27;26;45;27;20;20;20;26;45;25;34;20;26;45;02
03;47;45;45;25;24;45;45;45;45;45;45;45;44;44;45;45;45;45;45;45;45;25;24;45;45;47;02
07;14;22;45;25;24;45;23;22;45;23;14;14;14;14;14;14;22;45;23;22;45;25;24;45;23;14;06
09;20;26;45;27;26;45;25;24;45;27;20;20;35;34;20;20;26;45;25;24;45;27;26;45;27;20;08
03;45;45;45;45;45;45;25;24;45;45;45;45;25;24;45;45;45;45;25;24;45;45;45;45;45;45;02
03;45;23;14;14;14;14;37;36;14;14;22;45;25;24;45;23;14;14;37;36;14;14;14;14;22;45;02
03;45;27;20;20;20;20;20;20;20;20;26;45;27;26;45;27;20;20;20;20;20;20;20;20;26;45;02
03;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;02
05;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;04
44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44
44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44
