0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
9	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	11
9	45	3	5	45	3	5	45	3	5	45	3	5	45	3	5	45	3	5	45	3	5	45	11
9	45	21	23	45	21	23	45	21	23	45	21	23	45	21	23	45	21	23	45	21	23	45	11
9	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	11
9	45	3	5	45	3	5	45	3	5	45	3	5	45	3	5	45	3	5	45	3	5	45	11
9	45	21	23	45	21	23	45	21	23	45	21	23	45	21	23	45	21	23	45	21	23	45	11
9	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	11
9	45	3	5	45	3	5	45	3	5	45	3	5	45	3	5	45	3	5	45	3	5	45	11
9	45	21	23	45	21	23	45	21	23	45	21	23	45	21	23	45	21	23	45	21	23	45	11
9	45	45	45	45	45	45	10	10	10	10	10	10	10	10	10	10	45	45	45	45	45	45	11
9	45	3	5	45	3	5	10	24	25	8	34	34	17	25	26	10	3	5	45	3	5	45	11
9	45	21	23	45	21	23	10	33	10	10	10	10	10	10	35	10	21	23	45	21	23	45	11
9	45	45	45	45	45	45	10	33	10	10	10	10	10	10	35	10	45	45	45	45	45	45	11
9	45	3	5	45	3	5	10	33	10	10	10	10	10	10	35	10	3	5	45	3	5	45	11
9	45	21	23	45	21	23	10	42	43	43	43	43	43	43	44	10	21	23	45	21	23	45	11
9	45	45	45	45	45	45	10	10	10	10	10	10	10	10	10	10	45	45	45	45	45	45	11
9	45	3	5	45	3	5	45	3	5	45	3	5	45	3	5	45	3	5	45	3	5	45	11
9	45	21	23	45	21	23	45	21	23	45	21	23	45	21	23	45	21	23	45	21	23	45	11
9	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	11
9	45	3	5	45	3	5	45	3	5	45	3	5	45	3	5	45	3	5	45	3	5	45	11
9	45	21	23	45	21	23	45	21	23	45	21	23	45	21	23	45	21	23	45	21	23	45	11
9	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	11
9	45	3	5	45	3	5	45	3	5	45	3	5	45	3	5	45	3	5	45	3	5	45	11
9	45	21	23	45	21	23	45	21	23	45	21	23	45	21	23	45	21	23	45	21	23	45	11
9	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	11
18	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	20
